"","SRR29185159","SRR29185160","SRR29185161","SRR29185162"
"FBgn0014009",3454,4494,4937,4788
"FBgn0083988",0,4,4,5
"FBti0061791",0,0,0,0
"FBti0059770",14,16,11,6
"FBgn0267957",0,0,0,0
"FBti0061842",0,0,0,0
"FBgn0043536",0,0,0,0
"FBgn0003900",46,55,68,60
"FBgn0085390",506,651,1462,932
"FBgn0267002",6343,8885,12729,8588
"FBti0062359",0,0,0,2
"FBti0060326",0,0,1,4
"FBti0060852",0,0,0,0
"FBgn0034284",0,0,0,0
"FBgn0050449",0,0,0,0
"FBgn0262970",1,1,0,0
"FBgn0085249",15,4,14,11
"FBgn0033687",394,395,225,282
"FBgn0085472",0,0,0,0
"FBgn0033000",1711,1279,1003,1019
"FBgn0010409",50187,50724,50599,45546
"FBgn0034035",1131,1330,1037,1048
"FBgn0265702",0,0,0,0
"FBgn0034988",361,507,630,536
"FBgn0043533",0,0,0,0
"FBgn0283508",5887,7562,14772,17522
"FBti0064031",0,2,4,1
"FBti0063148",3,3,0,0
"FBgn0000008",627,820,1208,1024
"FBgn0034735",496,573,751,635
"FBgn0262447",0,0,0,0
"FBti0064127",0,0,0,0
"FBgn0050108",51,44,40,34
"FBgn0033697",27,54,54,24
"FBti0018924",0,0,0,0
"FBgn0033225",2239,2384,1862,1689
"FBgn0023181",1292,1428,1310,1270
"FBgn0063380",0,1,0,0
"FBgn0266518",2824,2905,2579,2726
"FBgn0013765",3069,4084,3446,3527
"FBgn0035005",3,0,1,0
"FBgn0034528",363,461,772,723
"FBgn0033265",475,706,628,703
"FBti0019932",0,0,0,0
"FBgn0034085",20,12,18,32
"FBti0060125",0,1,0,0
"FBti0062505",0,0,0,0
"FBti0060832",0,1,0,0
"FBtr0304195_df_nrg",0,0,0,0
"FBti0064083",0,0,0,0
"FBgn0265046",3,4,3,1
"FBgn0033890",1440,1817,1817,1737
"FBgn0024754",6085,7025,7491,7546
"FBgn0028953",4054,5595,5144,5235
"FBgn0034323",2,4,0,3
"FBgn0263482",0,0,0,1
"FBgn0011824",758,952,1374,1141
"FBgn0033060",303,349,420,450
"FBgn0265645",0,0,0,0
"FBgn0034877",6467,6406,7456,6791
"FBgn0034734",1046,1370,1644,1536
"FBgn0020521",921,1332,1563,1567
"FBgn0053363",0,0,0,0
"FBgn0033788",2,1,2,11
"FBgn0034585",1205,1199,1268,1361
"FBgn0262372",0,0,0,0
"FBgn0262478",0,0,1,1
"FBgn0082927",0,2,1,3
"FBgn0050390",567,637,536,577
"FBti0061340",0,0,0,1
"FBti0062562",0,0,0,0
"FBgn0034503",816,866,837,868
"FBgn0033683",419,348,353,368
"FBgn0260474",2,0,4,0
"FBgn0033794",9,7,8,2
"FBgn0033260",2766,3635,3422,3375
"RR48532_transposable_element",0,1,1,1
"FBtr0304273_df_nrg",0,0,0,0
"FBgn0260932",72,103,122,119
"FBgn0265176",1,3,0,0
"FBti0060983",0,2,0,3
"FBgn0266787",0,0,1,1
"FBgn0033601",0,0,0,0
"FBti0062508",0,0,0,0
"FBgn0050044",15,9,11,16
"FBgn0267024",1,0,0,0
"FBti0060541",0,0,0,0
"FBgn0033913",457,544,809,787
"FBgn0050240",0,2,1,0
"FBti0061827",3,3,0,5
"FBgn0033542",23,17,12,17
"FBti0060055",0,0,0,0
"FBti0060419",0,0,0,0
"FBti0064274",4,2,4,3
"FBgn0034423",0,0,0,0
"FBgn0033177",847,1006,1040,987
"FBgn0034560",0,0,0,0
"FBgn0067905",0,0,0,0
"FBgn0033669",1830,2057,1674,1813
"FBgn0033958",840,1189,4073,2056
"FBgn0033701",0,0,0,0
"FBgn0050418",427,484,1018,625
"FBgn0034959",1023,1209,1536,1331
"FBti0062493",0,1,1,0
"FBti0063149",1,2,0,1
"FBgn0026316",1888,2133,2102,2109
"FBgn0026384",0,0,0,0
"FBgn0266045",0,0,0,0
"FBgn0040733",0,0,0,0
"FBgn0082922",0,0,0,0
"FBgn0259185",0,0,1,2
"FBgn0011933",0,0,0,0
"FBgn0259966",4,0,0,3
"FBgn0263770",0,0,0,0
"FBgn0050393",1,0,0,0
"FBgn0041205",1722,1966,2076,2037
"FBgn0011746",247,250,1113,436
"FBti0061740",0,0,1,0
"FBgn0265145",0,0,0,0
"FBti0060031",0,0,0,0
"FBgn0263709",0,0,0,0
"FBgn0266865",1,0,0,0
"FBgn0264957",0,0,1,0
"FBgn0265699",18,39,23,15
"FBgn0028955",0,0,0,0
"FBti0019020",1,3,3,2
"FBti0061283",0,0,0,0
"FBgn0261632",3,1,0,1
"FBgn0053366",0,0,0,0
"FBgn0035032",9914,9377,9471,8953
"FBgn0263029",891,973,1142,1034
"FBgn0259878",111,164,67,70
"FBgn0034759",0,0,0,0
"FBgn0266637",1,7,8,5
"FBgn0053383",0,0,0,0
"FBti0060641",0,1,0,0
"FBgn0034592",3,0,0,0
"FBgn0266863",0,0,0,0
"FBgn0086676",1859,2372,2659,2728
"FBgn0050047",30,40,48,35
"FBti0063983",0,0,0,0
"FBgn0250822",2,0,1,4
"FBgn0033973",649,683,777,634
"FBgn0267589",0,0,0,0
"FBgn0000606",34,38,88,50
"FBti0063057",0,1,0,0
"FBgn0265851",0,0,0,0
"FBgn0284243",150414,163812,171722,164574
"FBti0019017",0,0,0,0
"FBgn0053407",0,0,0,0
"FBgn0053364",0,0,0,0
"FBgn0034255",0,0,0,0
"FBgn0033485",906,904,1597,1451
"FBti0061769",0,0,0,0
"FBgn0034229",3,0,9,62
"FBgn0035088",1429,1579,1360,1388
"FBgn0034263",1,0,1,0
"FBgn0050362",1,0,1,0
"FBgn0085246",1,5,1,0
"FBgn0033798",7,8,12,4
"FBgn0001269",418,387,580,473
"FBgn0011868",0,0,0,0
"FBti0061531",44,63,63,57
"FBti0018876",0,0,0,0
"FBgn0026403",37,79,73,52
"FBgn0265097",4,1,0,0
"FBti0063186",0,2,0,0
"FBgn0000326",506,657,620,590
"FBgn0035083",2906,3249,4562,4172
"FBgn0262564",0,0,0,0
"FBgn0034251",14,6,3,4
"FBti0062317",7,7,0,4
"FBti0062616",0,0,0,0
"FBgn0034914",7627,8989,6920,6804
"FBgn0033538",982,915,3151,1778
"FBgn0263395",1489,1990,2191,2049
"FBti0059771",0,0,0,0
"FBti0064145",0,0,0,0
"FBgn0053539",0,1,1,1
"FBti0063143",0,3,1,3
"FBgn0265878",2,0,0,0
"FBgn0011589",274,359,572,335
"FBgn0050416",0,0,0,0
"FBgn0263741",0,0,0,0
"FBtr0472705_df_nrg",0,0,0,0
"FBgn0035087",1828,2300,2545,2473
"FBgn0260972",1687,1880,2085,1866
"FBti0018965",10,1,4,3
"FBgn0050385",0,1,0,0
"FBgn0261373",171,220,333,231
"FBti0062404",0,1,0,0
"FBgn0033062",4720,6398,5702,5962
"FBgn0085436",8109,12058,12218,11323
"FBti0060566",0,0,0,0
"FBti0064151",0,0,0,0
"FBgn0033773",12,9,15,11
"FBtr0472704_df_nrg",0,0,0,0
"FBgn0266849",1,0,0,1
"FBgn0034990",10,7,40,18
"FBgn0033827",4,3,2,13
"FBgn0033541",0,1,1,2446
"FBgn0050339",14,29,19,26
"FBgn0034249",1496,1672,1976,1766
"FBgn0033706",4,0,4,2
"FBgn0261477",1389,1672,1674,1705
"FBgn0263337",0,0,0,0
"FBgn0034657",3072,4394,4493,4437
"FBgn0034542",1452,1810,1809,1743
"FBti0062372",0,0,0,0
"FBgn0266810",0,0,0,0
"FBgn0263848",0,0,0,0
"FBtr0445466_df_nrg",0,0,0,0
"FBgn0033055",1727,2074,1949,2046
"FBgn0028738",0,0,0,0
"FBgn0265095",0,0,0,0
"FBgn0033203",0,2,2,1
"FBti0061876",5,6,1,5
"FBgn0033205",445,481,490,418
"FBgn0284235",0,0,0,0
"FBgn0053385",0,0,0,0
"FBgn0033261",539,588,737,786
"FBti0062614",0,0,0,0
"FBgn0261584",195,206,78,123
"FBgn0028372",869,1046,909,982
"FBgn0033164",0,0,3,2
"FBgn0050148",10,5,0,3
"FBti0061462",0,0,0,2
"FBgn0033608",1910,1730,1574,1596
"FBti0063210",0,0,0,0
"FBti0019924",0,0,0,0
"FBgn0053445",0,0,0,0
"FBgn0033543",382,415,503,501
"FBti0059659",1,0,5,1
"FBgn0053368",0,0,0,0
"FBtr0304461_df_nrg",0,0,0,0
"FBgn0033713",751,1035,1160,1029
"FBgn0266723",796,744,707,698
"FBti0061266",2,1,1,1
"FBgn0084049",18,22,18,18
"FBgn0034230",1764,2194,2615,2163
"FBgn0034942",1,0,2,0
"FBgn0265272",1,2,3,2
"FBgn0287602",2,1,1,6
"FBgn0262965",1,1,1,3
"FBti0062341",0,0,0,0
"FBgn0265180",348,470,1366,930
"FBti0018953",2,0,2,2
"FBgn0262123",238,254,224,190
"FBti0061820",0,0,0,0
"FBgn0034362",686,687,918,824
"FBgn0033787",2,4,1,31
"FBgn0033471",32,27,45,39
"FBgn0034261",826,1050,1327,1130
"FBgn0050431",3,3,2,5
"FBgn0082931",3,4,1,5
"FBgn0034518",0,0,0,0
"FBgn0264297",0,0,0,0
"FBti0019271",0,0,0,0
"FBti0063054",1,0,1,1
"FBgn0053425",0,0,0,0
"FBgn0262902",13,34,34,21
"FBgn0265656",0,0,1,0
"FBti0061107",1,1,0,0
"FBti0063264",0,0,0,0
"FBgn0011260",2163,3024,2513,2559
"FBgn0082951",0,2,0,0
"FBgn0033868",49,0,1,0
"FBgn0043532",0,0,0,0
"FBgn0284436",10594,12074,10916,10536
"FBgn0034821",0,0,0,0
"FBgn0015714",0,0,0,1
"FBgn0020306",13522,17621,16756,17292
"FBti0019030",0,0,0,0
"FBti0019889",0,0,0,0
"FBgn0033808",226,223,344,340
"FBgn0033248",0,3,2,1
"FBgn0053408",0,0,0,0
"FBgn0002716",26,54,56,37
"FBti0059675",0,0,0,0
"FBti0019920",0,0,0,0
"FBgn0265058",0,1,0,0
"FBti0019969",2,2,0,1
"FBgn0053403",0,0,0,0
"FBgn0033268",247046,242090,258259,253585
"FBgn0085399",985,1529,1422,1075
"FBgn0020617",1008,1124,1389,1255
"FBgn0266764",0,0,0,0
"FBgn0033426",847,889,1260,938
"FBgn0033397",0,1,11,6
"FBgn0263270",2,1,0,0
"FBgn0265852",0,0,0,0
"FBgn0050469",0,0,0,0
"FBgn0264330",2,0,1,0
"FBgn0085218",13,8,15,14
"FBgn0265344",1,1,0,0
"FBti0061663",9,4,1,8
"FBgn0040505",1614,2800,2910,1965
"FBgn0033932",176,242,508,272
"FBgn0034205",4,0,0,0
"FBgn0033402",565,703,978,948
"FBgn0033744",471,564,743,670
"FBgn0040491",91,93,111,73
"FBti0063741",0,0,0,0
"FBgn0040751",111,113,96,128
"FBgn0263557",0,0,0,0
"FBgn0261823",1876,2720,2776,2769
"FBgn0033899",563,730,653,623
"FBgn0021814",1214,1145,1144,1091
"RR49603_transposable_element",0,0,0,0
"FBti0059813",0,0,0,0
"FBti0063205",0,0,0,0
"FBgn0034455",1184,1314,990,965
"FBgn0034266",19,41,37,17
"FBgn0050160",2,1,1,2
"FBgn0014870",4518,6463,5611,6074
"FBgn0266574",0,0,0,0
"FBti0062602",4,0,2,1
"FBti0063119",0,0,0,0
"FBti0061527",0,0,0,0
"FBgn0265977",0,4,2,1
"FBgn0020764",1393,1712,1758,1540
"FBti0060400",0,0,0,0
"FBgn0262427",0,0,0,0
"FBgn0000337",6,9,6,12
"FBti0019900",0,2,8,3
"FBgn0033661",1338,1701,2434,2040
"FBgn0034151",0,4,13,5
"FBgn0050395",0,0,0,0
"FBgn0040653",0,2,0,1
"FBti0060599",0,9,6,10
"FBti0018883",0,0,0,0
"FBgn0053358",0,0,0,0
"FBgn0034838",1,0,0,0
"FBgn0263697",1522,1752,1555,1581
"FBgn0262316",0,0,0,0
"FBgn0261989",221,19,82,70
"FBgn0053401",0,0,0,0
"FBgn0034496",1264,1298,1625,1400
"FBti0060869",0,0,1,0
"FBgn0263084",0,0,0,0
"FBgn0033907",722,798,642,531
"FBti0018985",3,0,0,5
"FBti0020003",0,0,0,0
"FBgn0085426",103,126,258,162
"FBgn0004400",1,1,5,2
"FBtr0304293_df_nrg",0,0,0,0
"FBgn0033564",441,416,611,415
"FBgn0034381",221,179,582,305
"FBgn0046999",4,1,0,2
"FBti0060616",0,2,0,0
"FBgn0033710",1896,2056,1577,1232
"FBti0060147",63,82,83,114
"FBti0061312",0,1,1,0
"FBgn0262888",0,0,0,0
"FBti0063682",1,0,1,0
"FBgn0263464",0,0,0,0
"FBti0019274",0,0,0,0
"FBti0060868",0,0,0,0
"FBgn0085732",69,89,82,85
"FBti0063718",0,0,0,0
"FBgn0085487",0,0,0,0
"FBgn0085419",297,387,745,400
"FBgn0033588",0,0,1,0
"FBti0060621",0,0,0,0
"FBgn0034295",0,0,0,0
"FBgn0265496",0,2,0,2
"FBgn0033378",2283,2488,2083,2421
"FBgn0265849",0,0,0,0
"FBgn0050267",0,1,0,0
"FBgn0033047",0,0,0,0
"FBgn0033813",471,481,298,304
"FBti0063745",0,0,0,0
"FBgn0053406",0,0,0,0
"FBgn0011934",0,0,0,0
"FBti0061056",0,0,0,0
"FBti0064272",0,0,0,0
"FBgn0050241",1,2,0,3
"FBgn0024732",557,754,593,745
"FBtr0472752_df_nrg",0,0,0,0
"FBgn0019949",1133,1294,1240,1225
"FBgn0015038",3,6,3,8
"FBti0060792",0,0,0,0
"FBti0061621",0,0,0,0
"FBtr0309614_df_nrg",0,0,0,0
"FBti0062389",0,1,2,0
"FBgn0026393",122,189,196,177
"FBgn0034512",368,230,598,351
"FBgn0243516",982,1322,1734,1467
"FBgn0264876",0,0,0,0
"FBti0018921",0,0,0,0
"FBgn0024232",1207,1753,3048,2090
"FBti0061239",0,0,0,0
"FBgn0033498",4,3,6,3
"FBgn0034177",228,298,265,244
"FBgn0082941",0,0,0,0
"FBgn0085260",23,33,47,34
"FBgn0034804",612,686,245,332
"FBti0018897",0,0,0,0
"FBti0061843",0,0,0,2
"FBgn0001122",6308,8496,12336,9203
"FBgn0262227",0,0,0,0
"FBgn0050001",186,200,301,240
"FBgn0028434",271,295,377,352
"FBgn0264299",0,0,0,0
"FBti0063034",0,0,0,0
"FBgn0033454",1536,1612,2048,1866
"FBgn0053182",255,328,251,279
"FBgn0002643",3925,6307,4419,4419
"FBti0064142",0,0,0,0
"FBti0061640",0,0,0,0
"FBgn0053399",0,0,0,0
"FBti0063252",23,47,55,34
"FBgn0034882",2,0,0,0
"FBgn0266046",15,9,16,18
"FBti0061520",0,0,0,0
"FBgn0033750",850,852,604,624
"FBgn0033439",1,1,0,0
"FBgn0034135",296,417,751,495
"FBgn0054040",0,0,0,0
"FBgn0264877",0,0,0,0
"FBgn0260775",0,0,0,0
"FBti0018963",93,114,181,204
"FBgn0265651",19,10,5,10
"FBgn0040092",41,28,81,55
"FBgn0026533",5178,6873,8814,8543
"FBgn0086519",5,9,16,136
"FBgn0011660",806,895,1130,1089
"FBgn0033069",0,0,2,0
"FBgn0040063",2,1,0,0
"FBgn0034854",1642,2233,2146,1852
"FBgn0262117",1486,2001,1912,1880
"RR48354_transposable_element",0,0,0,0
"FBti0061532",0,0,0,0
"FBti0063184",1,1,0,1
"FBgn0063374",20,19,39,22
"FBgn0263566",0,0,0,0
"FBgn0263551",0,0,0,0
"FBgn0287608",2,0,2,2
"FBti0061269",0,0,0,0
"FBgn0033304",121,108,159,141
"FBti0061097",0,0,0,0
"FBgn0034691",1504,1921,3101,2231
"FBgn0034422",465,424,561,615
"FBti0019276",0,0,0,1
"FBti0019005",16,22,11,21
"FBgn0259210",8,10,8,6
"FBti0148144",0,0,0,0
"FBgn0029092",1150,1283,1491,1434
"FBti0061935",1,5,0,0
"FBgn0264834",67,86,31,74
"FBgn0040778",396,424,334,368
"FBgn0035031",0,1,2,1
"FBgn0033232",601,697,975,881
"RR48320_transposable_element",0,3,2,0
"FBti0019031",0,0,0,0
"FBgn0035077",0,0,0,0
"FBgn0000289",6797,9146,9033,9086
"FBgn0010548",3363,3927,3331,3233
"FBgn0034059",529,612,535,466
"FBgn0033088",696,739,753,632
"FBgn0034442",167,206,152,175
"FBgn0266624",46,49,16,31
"FBgn0033741",1900,2484,3518,3379
"FBti0063073",0,0,0,1
"FBgn0034009",1354,1945,1654,1701
"FBgn0033980",40,51,369,180
"FBgn0010482",67,89,335,225
"FBti0061131",0,0,0,0
"FBgn0013548",1373,1517,1506,1468
"RR48339_transposable_element",1,5,0,0
"FBgn0033320",2,4,2,15
"FBgn0034131",0,0,0,0
"FBti0061510",0,0,0,0
"FBti0063720",35,47,30,35
"FBgn0033636",9368,13784,10910,10486
"FBgn0033717",12285,14602,4345,7918
"FBgn0265643",0,0,0,0
"FBgn0053558",4118,6035,5292,5428
"FBgn0266378",0,0,0,0
"FBgn0053013",0,0,0,0
"FBgn0034396",1076,1424,783,801
"FBti0018947",0,0,1,2
"FBgn0004003",118,154,19,51
"FBgn0033715",579,713,876,843
"FBgn0034704",296,381,290,297
"FBti0018936",0,0,0,0
"FBti0060934",2,3,2,0
"FBgn0035007",6,0,0,0
"FBgn0011910",0,0,0,0
"FBgn0034563",0,1,0,0
"FBgn0050297",1,0,1,0
"FBti0061067",1,1,3,1
"FBti0060128",2,7,6,2
"FBti0064285",0,0,0,0
"FBti0061731",8,1,0,0
"FBgn0040735",0,0,0,0
"FBti0060907",0,0,0,0
"FBgn0033132",1483,1538,2155,1287
"FBgn0050037",1,0,0,1
"FBgn0260456",1389,1452,1648,1377
"FBti0019987",0,0,0,0
"FBgn0083005",9,16,9,14
"FBgn0050052",7,4,29,11
"FBgn0033816",841,901,1386,1143
"FBgn0011892",0,0,0,0
"FBti0061618",0,0,0,0
"FBgn0034329",0,1,0,0
"FBgn0033872",2284,2981,5249,3247
"FBgn0011897",0,0,0,0
"FBti0061717",0,0,0,0
"FBgn0286039",0,0,0,0
"FBgn0261016",33,46,47,38
"FBti0061095",0,0,0,0
"FBti0019922",0,0,0,0
"FBti0063127",0,0,0,0
"FBgn0034232",479,499,512,491
"FBgn0015037",0,1,1,1
"FBgn0050058",0,0,0,0
"FBgn0043792",33,39,14,32
"FBgn0265536",0,0,0,0
"FBgn0034641",2141,2883,3212,2992
"FBgn0035023",1332,1369,3461,1989
"FBgn0050279",5,12,1,9
"FBgn0050457",41,77,220,498
"FBti0060874",0,0,0,2
"FBgn0266626",1,0,1,0
"FBti0064136",1,2,1,2
"FBgn0265938",0,0,0,0
"FBgn0011211",24455,27514,44357,35769
"FBgn0265623",955,1436,1366,1077
"FBgn0263271",0,0,0,0
"FBgn0034859",955,1168,1081,1017
"FBgn0050103",0,0,0,0
"FBgn0050161",7,7,6,8
"FBgn0034066",1555,1580,1559,1402
"FBti0062576",0,0,0,0
"FBgn0033086",221,265,420,329
"FBgn0063375",0,1,2,0
"FBgn0085227",0,0,0,0
"FBgn0265646",1,3,1,0
"FBgn0083003",19,16,16,21
"FBgn0053471",0,0,0,0
"FBti0060640",0,0,0,0
"FBti0061453",0,0,0,0
"FBgn0050373",423,456,496,489
"FBgn0027538",313,375,475,425
"FBgn0286740",0,0,0,0
"FBgn0034272",4,5,6,2
"FBgn0034413",26,2,24,8
"FBti0063847",0,0,0,0
"FBgn0033373",520,492,453,408
"FBgn0034117",665,753,922,728
"FBgn0034505",10,2,4,5
"FBti0063202",0,1,0,0
"FBgn0033358",911,972,1927,1295
"FBgn0266808",16,37,24,30
"FBtr0472806_df_nrg",0,0,0,0
"FBgn0043471",0,0,0,0
"FBgn0034985",1227,1686,1750,1490
"FBgn0033412",0,1,1,2
"FBti0018900",0,0,0,0
"FBgn0034904",0,0,1,1
"FBti0063863",0,2,0,0
"FBti0060274",0,0,0,0
"FBgn0033224",1503,2261,2772,2633
"FBti0063087",0,0,0,0
"FBgn0034277",6192,7395,6649,6311
"FBgn0053362",0,0,0,0
"FBgn0004181",0,0,0,0
"FBti0061658",2,15,5,14
"FBgn0034535",255,279,258,243
"FBgn0027529",2521,3182,3304,2857
"FBgn0085217",0,0,0,0
"FBgn0034436",1119,1438,1852,1600
"FBti0061836",0,0,0,0
"FBgn0263529",0,0,0,0
"FBgn0050158",742,747,1440,966
"FBti0061772",0,3,1,0
"FBgn0265652",0,0,0,0
"FBgn0263334",0,0,0,0
"FBgn0000581",4697,6682,7145,6614
"FBti0063137",0,1,2,0
"FBgn0265186",5,0,6,2
"FBgn0033749",380,510,529,538
"FBgn0050016",23,15,26,16
"FBgn0034140",27,22,64,56
"FBgn0033720",42,6,184,41
"FBti0061181",0,0,0,0
"FBti0061259",0,1,0,0
"FBgn0262570",60,66,66,93
"FBgn0001276",511,621,515,544
"FBgn0033524",12,23,13,22
"FBgn0034457",0,2,0,0
"FBgn0266791",0,0,1,0
"FBgn0041243",10,10,11,12
"FBti0061533",0,0,0,0
"FBgn0034611",1012,1211,1030,970
"RR49755_transposable_element",1,0,3,0
"FBtr0304390_df_nrg",0,0,0,0
"FBtr0309578_df_nrg",0,0,0,0
"FBti0060408",0,0,0,0
"FBti0060991",0,0,0,0
"FBgn0263083",1,0,0,0
"FBtr0304328_df_nrg",0,0,0,0
"FBgn0027561",1666,2167,2269,2251
"FBgn0050441",3,2,7,3
"FBgn0034996",2,14,6,8
"FBgn0033945",158,112,132,160
"FBgn0034451",1291,1490,1269,1407
"FBgn0050461",0,0,0,0
"FBti0019001",4,3,1,8
"FBgn0003975",223,209,576,383
"FBtr0304173_df_nrg",0,0,0,0
"FBti0060258",0,0,0,0
"FBti0061132",1,0,0,0
"FBgn0053356",0,0,0,0
"FBgn0033752",390,490,597,563
"FBti0019011",0,0,2,0
"FBti0060341",0,0,0,0
"FBgn0034989",1870,2366,2477,2169
"FBgn0010488",14191,19664,14426,15837
"RR48384_transposable_element",7,11,26,16
"FBti0018868",0,0,3,1
"FBgn0011906",0,0,0,0
"FBti0060631",0,0,0,0
"FBti0062345",0,0,0,0
"FBgn0260762",0,0,0,0
"FBgn0053426",0,0,0,0
"FBgn0050263",28,59,61,48
"FBti0019003",0,0,0,0
"FBgn0061197",27,3,6,4
"FBti0060280",0,1,0,0
"FBgn0053411",0,0,0,0
"FBgn0034346",1862,2228,1649,1599
"FBti0059799",0,0,0,0
"FBti0061100",1,1,3,2
"FBgn0261794",3249,4342,11351,5995
"FBtr0304459_df_nrg",0,0,0,0
"FBti0063199",0,0,0,0
"FBti0062381",0,1,0,0
"FBgn0261588",4202,5566,4334,5630
"FBgn0033474",330,449,631,598
"FBgn0034210",693,740,766,760
"FBgn0261554",1530,1981,2223,1858
"FBgn0034264",301,358,398,501
"FBgn0034443",250,176,92,98
"FBgn0034938",820,895,893,750
"FBgn0035040",6,14,6,9
"FBgn0262443",0,0,0,0
"FBti0061424",0,0,0,0
"FBgn0082926",0,0,0,0
"FBgn0033785",165,281,97,175
"FBgn0061361",0,0,0,0
"FBgn0033272",1180,1382,1428,1276
"FBgn0020391",3786,4856,3623,3583
"FBgn0033799",266,239,252,304
"FBgn0259211",839,1257,1808,1688
"FBgn0285940",0,0,0,0
"FBti0060421",0,0,0,0
"FBgn0085229",474,340,420,353
"FBti0061327",0,0,0,0
"FBgn0283553",0,0,0,0
"FBgn0266438",0,0,0,0
"FBgn0033578",8,7,12,2
"FBgn0033135",10,15,40,20
"FBgn0082942",2,5,5,7
"FBgn0259179",0,3,4,1
"FBgn0002531",15,9,7,1104
"FBgn0027788",600,817,728,718
"FBgn0033638",1837,2309,1372,1503
"FBgn0011849",0,0,0,0
"FBgn0033950",1,0,0,0
"FBgn0004698",3035,3769,4524,4337
"FBgn0005612",1523,1805,287,1086
"FBgn0027091",1360,1500,1893,1632
"FBgn0010228",10517,8826,11198,11242
"FBgn0034534",1254,1144,1190,1224
"FBgn0264914",0,0,0,0
"FBgn0034429",0,2,0,0
"FBti0060805",0,0,0,0
"FBtr0304287_df_nrg",0,0,0,0
"FBgn0034051",3647,4680,5990,5636
"FBgn0050157",62,51,77,55
"FBti0018945",0,0,0,0
"FBgn0053964",0,0,0,0
"FBti0062403",0,0,0,0
"FBgn0264336",0,0,0,0
"FBgn0011895",0,0,1,0
"FBgn0034061",748,707,576,600
"FBgn0034554",0,1,0,0
"FBti0060129",4,3,5,12
"FBgn0033730",1,86,88,97
"FBgn0034218",17,25,8,17
"FBgn0265981",11,8,4,4
"FBgn0035094",99,122,134,136
"FBgn0082968",0,1,0,0
"FBgn0261292",1,1,1,0
"FBgn0034460",0,1,0,0
"FBgn0050095",0,0,0,0
"FBgn0015372",2320,2563,1111,2028
"FBgn0286785",795,1109,1393,1032
"FBgn0085582",1,1,1,3
"FBgn0033017",1304,1154,1380,1363
"FBgn0034010",256,37,1070,472
"FBgn0033591",0,0,0,0
"FBgn0262464",0,0,0,0
"FBti0063061",0,0,0,0
"FBgn0267691",0,0,0,0
"FBgn0063373",1,2,1,4
"FBgn0002533",12,8,14,1370
"FBgn0058191",1786,2004,1892,2152
"FBti0062344",0,0,0,0
"FBgn0004101",636,777,789,890
"FBgn0262412",0,0,0,0
"FBgn0010316",1648,2377,2032,2611
"FBgn0033866",18,34,22,25
"FBgn0034784",1,9,21,15
"FBgn0053199",18,14,48,37
"FBti0018980",0,0,0,0
"FBti0059733",13,10,7,10
"FBgn0082919",3,1,3,2
"FBgn0034248",25,34,46,32
"FBgn0265915",0,0,2,1
"FBgn0033154",528,12141,150,111
"FBti0061404",0,0,0,0
"FBgn0034086",582,580,552,615
"FBti0061666",0,0,0,0
"FBti0060410",1,0,0,0
"FBti0063740",0,0,0,0
"FBgn0266087",0,0,0,0
"FBgn0053370",0,0,0,0
"FBti0061439",0,0,0,0
"FBti0019975",0,0,0,0
"FBgn0034365",192,194,161,181
"FBgn0026761",1851,2212,3244,2584
"FBgn0053155",18,15,24,20
"FBti0061705",0,0,0,0
"FBgn0053390",0,0,0,0
"FBti0060496",0,0,0,0
"FBgn0266814",7,4,7,6
"FBti0018986",0,0,0,0
"FBgn0033349",2524,2922,2520,2835
"FBgn0287466",1,0,0,0
"FBti0060850",0,0,0,0
"FBgn0033726",17,17,99,29
"FBtr0445467_df_nrg",0,0,0,0
"FBtr0304267_df_nrg",0,0,0,0
"FBti0061659",0,1,0,0
"FBgn0082971",6,4,2,0
"FBgn0011956",0,0,0,0
"RR50207_transposable_element",49,66,51,53
"FBgn0026136",0,0,0,0
"FBti0061862",9,5,15,2
"FBgn0050289",1,3,3,5
"FBgn0033221",11,21,12,36
"FBgn0085444",1648,2230,2368,2232
"FBgn0033501",86,89,176,115
"FBgn0035020",904,893,1211,1079
"FBti0061926",0,0,0,0
"FBgn0034654",7265,7751,6423,6217
"FBgn0000658",730,975,1293,1401
"FBti0061691",0,0,0,0
"FBgn0011958",0,0,0,0
"FBgn0034243",1863,2240,2750,2492
"FBti0062507",0,0,0,0
"FBgn0034743",51693,50372,38170,36823
"FBti0018940",0,0,0,0
"FBgn0266643",0,0,0,0
"FBgn0054038",34,53,33,62
"FBgn0034267",59,95,78,94
"FBgn0053417",0,0,0,0
"FBti0061154",0,0,0,0
"FBgn0033605",320,367,307,361
"FBgn0266819",1,2,4,4
"FBgn0265593",0,0,0,0
"FBti0063120",1,1,0,2
"FBti0061696",0,0,0,0
"FBti0061096",0,0,1,0
"FBgn0033134",155,154,326,196
"FBgn0265696",1,7,1,0
"FBgn0034242",0,0,0,0
"FBgn0034520",4,5,3,1
"FBgn0287607",0,0,1,0
"FBgn0050491",324,355,363,378
"FBgn0086655",4843,7070,6678,6392
"FBgn0069969",1044,1130,1130,935
"FBti0060938",0,0,0,0
"FBgn0082981",4,2,1,1
"FBgn0034098",59,65,85,51
"FBgn0034921",2434,2714,2010,2062
"FBgn0034510",0,0,1,0
"FBti0063679",0,0,0,0
"FBgn0262476",1556,2032,4894,2803
"FBgn0034427",0,0,0,0
